0,100,0
1,99,1
2,99,3
3,99,5
4,99,6
5,99,8
6,99,10
7,99,12
8,99,13
9,98,15
10,98,17
11,98,19
12,97,20
13,97,22
14,97,24
15,96,25
16,96,27
17,95,29
18,95,30
19,94,32
20,93,34
21,93,35
22,92,37
23,92,39
24,91,40
25,90,42
26,89,43
27,89,45
28,88,46
29,87,48
30,86,50
31,85,51
32,84,52
33,83,54
34,82,55
35,81,57
36,80,58
37,79,60
38,78,61
39,77,62
40,76,64
41,75,65
42,74,66
43,73,68
44,71,69
45,70,70
46,69,71
47,68,73
48,66,74
49,65,75
50,64,76
51,62,77
52,61,78
53,60,79
54,58,80
55,57,81
56,55,82
57,54,83
58,52,84
59,51,85
60,49,86
61,48,87
62,46,88
63,45,89
64,43,89
65,42,90
66,40,91
67,39,92
68,37,92
69,35,93
70,34,93
71,32,94
72,30,95
73,29,95
74,27,96
75,25,96
76,24,97
77,22,97
78,20,97
79,19,98
80,17,98
81,15,98
82,13,99
83,12,99
84,10,99
85,8,99
86,6,99
87,5,99
88,3,99
89,1,99
90,0,100
91,-1,99
92,-3,99
93,-5,99
94,-6,99
95,-8,99
96,-10,99
97,-12,99
98,-13,99
99,-15,98
100,-17,98
101,-19,98
102,-20,97
103,-22,97
104,-24,97
105,-25,96
106,-27,96
107,-29,95
108,-30,95
109,-32,94
110,-34,93
111,-35,93
112,-37,92
113,-39,92
114,-40,91
115,-42,90
116,-43,89
117,-45,89
118,-46,88
119,-48,87
120,-50,86
121,-51,85
122,-52,84
123,-54,83
124,-55,82
125,-57,81
126,-58,80
127,-60,79
128,-61,78
129,-62,77
130,-64,76
131,-65,75
132,-66,74
133,-68,73
134,-69,71
135,-70,70
136,-71,69
137,-73,68
138,-74,66
139,-75,65
140,-76,64
141,-77,62
142,-78,61
143,-79,60
144,-80,58
145,-81,57
146,-82,55
147,-83,54
148,-84,52
149,-85,51
150,-86,50
151,-87,48
152,-88,46
153,-89,45
154,-89,43
155,-90,42
156,-91,40
157,-92,39
158,-92,37
159,-93,35
160,-93,34
161,-94,32
162,-95,30
163,-95,29
164,-96,27
165,-96,25
166,-97,24
167,-97,22
168,-97,20
169,-98,19
170,-98,17
171,-98,15
172,-99,13
173,-99,12
174,-99,10
175,-99,8
176,-99,6
177,-99,5
178,-99,3
179,-99,1
180,-100,0
181,-99,-1
182,-99,-3
183,-99,-5
184,-99,-6
185,-99,-8
186,-99,-10
187,-99,-12
188,-99,-13
189,-98,-15
190,-98,-17
191,-98,-19
192,-97,-20
193,-97,-22
194,-97,-24
195,-96,-25
196,-96,-27
197,-95,-29
198,-95,-30
199,-94,-32
200,-93,-34
201,-93,-35
202,-92,-37
203,-92,-39
204,-91,-40
205,-90,-42
206,-89,-43
207,-89,-45
208,-88,-46
209,-87,-48
210,-86,-49
211,-85,-51
212,-84,-52
213,-83,-54
214,-82,-55
215,-81,-57
216,-80,-58
217,-79,-60
218,-78,-61
219,-77,-62
220,-76,-64
221,-75,-65
222,-74,-66
223,-73,-68
224,-71,-69
225,-70,-70
226,-69,-71
227,-68,-73
228,-66,-74
229,-65,-75
230,-64,-76
231,-62,-77
232,-61,-78
233,-60,-79
234,-58,-80
235,-57,-81
236,-55,-82
237,-54,-83
238,-52,-84
239,-51,-85
240,-49,-86
241,-48,-87
242,-46,-88
243,-45,-89
244,-43,-89
245,-42,-90
246,-40,-91
247,-39,-92
248,-37,-92
249,-35,-93
250,-34,-93
251,-32,-94
252,-30,-95
253,-29,-95
254,-27,-96
255,-25,-96
256,-24,-97
257,-22,-97
258,-20,-97
259,-19,-98
260,-17,-98
261,-15,-98
262,-13,-99
263,-12,-99
264,-10,-99
265,-8,-99
266,-6,-99
267,-5,-99
268,-3,-99
269,-1,-99
270,0,-100
271,1,-99
272,3,-99
273,5,-99
274,6,-99
275,8,-99
276,10,-99
277,12,-99
278,13,-99
279,15,-98
280,17,-98
281,19,-98
282,20,-97
283,22,-97
284,24,-97
285,25,-96
286,27,-96
287,29,-95
288,30,-95
289,32,-94
290,34,-93
291,35,-93
292,37,-92
293,39,-92
294,40,-91
295,42,-90
296,43,-89
297,45,-89
298,46,-88
299,48,-87
300,49,-86
301,51,-85
302,52,-84
303,54,-83
304,55,-82
305,57,-81
306,58,-80
307,60,-79
308,61,-78
309,62,-77
310,64,-76
311,65,-75
312,66,-74
313,68,-73
314,69,-71
315,70,-70
316,71,-69
317,73,-68
318,74,-66
319,75,-65
320,76,-64
321,77,-62
322,78,-61
323,79,-60
324,80,-58
325,81,-57
326,82,-55
327,83,-54
328,84,-52
329,85,-51
330,86,-50
331,87,-48
332,88,-46
333,89,-45
334,89,-43
335,90,-42
336,91,-40
337,92,-39
338,92,-37
339,93,-35
340,93,-34
341,94,-32
342,95,-30
343,95,-29
344,96,-27
345,96,-25
346,97,-24
347,97,-22
348,97,-20
349,98,-19
350,98,-17
351,98,-15
352,99,-13
353,99,-12
354,99,-10
355,99,-8
356,99,-6
357,99,-5
358,99,-3
359,99,-1
